"","ensembl_gene_id","row_num","gene_symbol","gene_type"
"1","ENSG00000000003",1,"TSPAN6","protein_coding"
"2","ENSG00000000005",2,"TNMD","protein_coding"
"3","ENSG00000000419",3,"DPM1","protein_coding"
"4","ENSG00000000457",4,"SCYL3","protein_coding"
"5","ENSG00000000460",5,"C1orf112","protein_coding"
"6","ENSG00000000938",6,"FGR","protein_coding"
"7","ENSG00000000971",7,"CFH","protein_coding"
"8","ENSG00000001036",8,"FUCA2","protein_coding"
"9","ENSG00000001084",9,"GCLC","protein_coding"
"10","ENSG00000001167",10,"NFYA","protein_coding"
"11","ENSG00000001460",11,"C1orf201","protein_coding"
"12","ENSG00000001461",12,"NIPAL3","protein_coding"
"13","ENSG00000001497",13,"LAS1L","protein_coding"
"14","ENSG00000001561",14,"ENPP4","protein_coding"
"15","ENSG00000001617",15,"SEMA3F","protein_coding"
"16","ENSG00000001626",16,"CFTR","protein_coding"
"17","ENSG00000001629",17,"ANKIB1","protein_coding"
"18","ENSG00000001630",18,"CYP51A1","protein_coding"
"19","ENSG00000001631",19,"KRIT1","protein_coding"
"20","ENSG00000002016",20,"RAD52","protein_coding"
"21","ENSG00000002079",21,"MYH16","transcribed_unitary_pseudogene"
"22","ENSG00000002330",22,"BAD","protein_coding"
"23","ENSG00000002549",23,"LAP3","protein_coding"
"24","ENSG00000002586",24,"CD99","protein_coding"
"25","ENSG00000002587",25,"HS3ST1","protein_coding"
"26","ENSG00000002726",26,"ABP1","protein_coding"
"27","ENSG00000002745",27,"WNT16","protein_coding"
"28","ENSG00000002746",28,"HECW1","protein_coding"
"29","ENSG00000002822",29,"MAD1L1","protein_coding"
"30","ENSG00000002834",30,"LASP1","protein_coding"
"31","ENSG00000002919",31,"SNX11","protein_coding"
"32","ENSG00000002933",32,"TMEM176A","protein_coding"
"33","ENSG00000003056",33,"M6PR","protein_coding"
"34","ENSG00000003096",34,"KLHL13","protein_coding"
"35","ENSG00000003137",35,"CYP26B1","protein_coding"
"36","ENSG00000003147",36,"ICA1","protein_coding"
"37","ENSG00000003249",37,"DBNDD1","protein_coding"
"38","ENSG00000003393",38,"ALS2","protein_coding"
"39","ENSG00000003400",39,"CASP10","protein_coding"
"40","ENSG00000003402",40,"CFLAR","protein_coding"
"41","ENSG00000003436",41,"TFPI","protein_coding"
"42","ENSG00000003509",42,"C2orf56","protein_coding"
"43","ENSG00000003756",43,"RBM5","protein_coding"
"44","ENSG00000003987",44,"MTMR7","protein_coding"
"45","ENSG00000003989",45,"SLC7A2","protein_coding"
"46","ENSG00000004059",46,"ARF5","protein_coding"
"47","ENSG00000004139",47,"SARM1","protein_coding"
"48","ENSG00000004142",48,"POLDIP2","protein_coding"
"49","ENSG00000004399",49,"PLXND1","protein_coding"
"50","ENSG00000004455",50,"AK2","protein_coding"
"51","ENSG00000004468",51,"CD38","protein_coding"
"52","ENSG00000004478",52,"FKBP4","protein_coding"
"53","ENSG00000004487",53,"KDM1A","protein_coding"
"54","ENSG00000004534",54,"RBM6","protein_coding"
"55","ENSG00000004660",55,"CAMKK1","protein_coding"
"56","ENSG00000004700",56,"RECQL","protein_coding"
"57","ENSG00000004766",57,"CCDC132","protein_coding"
"58","ENSG00000004776",58,"HSPB6","protein_coding"
"59","ENSG00000004777",59,"ARHGAP33","protein_coding"
"60","ENSG00000004779",60,"NDUFAB1","protein_coding"
"61","ENSG00000004799",61,"PDK4","protein_coding"
"62","ENSG00000004809",62,"SLC22A16","protein_coding"
"63","ENSG00000004838",63,"ZMYND10","protein_coding"
"64","ENSG00000004846",64,"ABCB5","protein_coding"
"65","ENSG00000004848",65,"ARX","protein_coding"
"66","ENSG00000004864",66,"SLC25A13","protein_coding"
"67","ENSG00000004866",67,"ST7","protein_coding"
"68","ENSG00000004897",68,"CDC27","protein_coding"
"69","ENSG00000004939",69,"SLC4A1","protein_coding"
"70","ENSG00000004948",70,"CALCR","protein_coding"
"71","ENSG00000004961",71,"HCCS","protein_coding"
"72","ENSG00000004975",72,"DVL2","protein_coding"
"73","ENSG00000005001",73,"PRSS22","protein_coding"
"74","ENSG00000005007",74,"UPF1","protein_coding"
"75","ENSG00000005020",75,"SKAP2","protein_coding"
"76","ENSG00000005022",76,"SLC25A5","protein_coding"
"77","ENSG00000005059",77,"CCDC109B","protein_coding"
"78","ENSG00000005073",78,"HOXA11","protein_coding"
"79","ENSG00000005075",79,"POLR2J","protein_coding"
"80","ENSG00000005100",80,"DHX33","protein_coding"
"81","ENSG00000005102",81,"MEOX1","protein_coding"
"82","ENSG00000005108",82,"THSD7A","protein_coding"
"83","ENSG00000005156",83,"LIG3","protein_coding"
"84","ENSG00000005175",84,"RPAP3","protein_coding"
"85","ENSG00000005187",85,"ACSM3","protein_coding"
"86","ENSG00000005189",86,"AC004381.6","protein_coding"
"87","ENSG00000005194",87,"CIAPIN1","protein_coding"
"88","ENSG00000005206",88,"AC004410.1","protein_coding"
"89","ENSG00000005238",89,"KIAA1539","protein_coding"
"90","ENSG00000005243",90,"COPZ2","protein_coding"
"91","ENSG00000005249",91,"PRKAR2B","protein_coding"
"92","ENSG00000005302",92,"MSL3","protein_coding"
"93","ENSG00000005339",93,"CREBBP","protein_coding"
"94","ENSG00000005379",94,"BZRAP1","protein_coding"
"95","ENSG00000005381",95,"MPO","protein_coding"
"96","ENSG00000005421",96,"PON1","protein_coding"
"97","ENSG00000005436",97,"C2orf3","protein_coding"
"98","ENSG00000005448",98,"WDR54","protein_coding"
"99","ENSG00000005469",99,"CROT","protein_coding"
"100","ENSG00000005471",100,"ABCB4","protein_coding"
"101","ENSG00000005483",101,"MLL5","protein_coding"
"102","ENSG00000005486",102,"RHBDD2","protein_coding"
"103","ENSG00000005513",103,"SOX8","protein_coding"
"104","ENSG00000005700",104,"IBTK","protein_coding"
"105","ENSG00000005801",105,"ZNF195","protein_coding"
"106","ENSG00000005810",106,"MYCBP2","protein_coding"
"107","ENSG00000005812",107,"FBXL3","protein_coding"
"108","ENSG00000005844",108,"ITGAL","protein_coding"
"109","ENSG00000005882",109,"PDK2","protein_coding"
"110","ENSG00000005884",110,"ITGA3","protein_coding"
"111","ENSG00000005889",111,"ZFX","protein_coding"
"112","ENSG00000005893",112,"LAMP2","protein_coding"
"113","ENSG00000005955",113,"GGNBP2",NA
"114","ENSG00000005961",114,"ITGA2B","protein_coding"
"115","ENSG00000005981",115,"ASB4","protein_coding"
"116","ENSG00000006007",116,"GDE1","protein_coding"
"117","ENSG00000006015",117,"C19orf60","protein_coding"
"118","ENSG00000006016",118,"CRLF1","protein_coding"
"119","ENSG00000006025",119,"OSBPL7","protein_coding"
"120","ENSG00000006042",120,"TMEM98","protein_coding"
"121","ENSG00000006047",121,"YBX2","protein_coding"
"122","ENSG00000006059",122,"KRT33A","protein_coding"
"123","ENSG00000006062",123,"MAP3K14","protein_coding"
"124","ENSG00000006071",124,"ABCC8","protein_coding"
"125","ENSG00000006074",125,"CCL18",NA
"126","ENSG00000006075",126,"CCL3",NA
"127","ENSG00000006114",127,"SYNRG",NA
"128","ENSG00000006116",128,"CACNG3","protein_coding"
"129","ENSG00000006118",129,"TMEM132A","protein_coding"
"130","ENSG00000006125",130,"AP2B1","protein_coding"
"131","ENSG00000006128",131,"TAC1","protein_coding"
"132","ENSG00000006194",132,"ZNF263","protein_coding"
"133","ENSG00000006210",133,"CX3CL1","protein_coding"
"134","ENSG00000006282",134,"SPATA20","protein_coding"
"135","ENSG00000006283",135,"CACNA1G","protein_coding"
"136","ENSG00000006327",136,"TNFRSF12A","protein_coding"
"137","ENSG00000006377",137,"DLX6","protein_coding"
"138","ENSG00000006432",138,"MAP3K9","protein_coding"
"139","ENSG00000006451",139,"RALA","protein_coding"
"140","ENSG00000006453",140,"BAIAP2L1","protein_coding"
"141","ENSG00000006459",141,"JHDM1D","protein_coding"
"142","ENSG00000006468",142,"ETV1","protein_coding"
"143","ENSG00000006530",143,"AGK","protein_coding"
"144","ENSG00000006534",144,"ALDH3B1","protein_coding"
"145","ENSG00000006555",145,"TTC22","protein_coding"
"146","ENSG00000006576",146,"PHTF2","protein_coding"
"147","ENSG00000006606",147,"CCL26","protein_coding"
"148","ENSG00000006607",148,"FARP2","protein_coding"
"149","ENSG00000006611",149,"USH1C","protein_coding"
"150","ENSG00000006625",150,"GGCT","protein_coding"
